115,658,121,646,18,
115,658,124,658,9,
124,658,138,649,23,
124,658,137,667,22,
100,649,115,658,24,
100,649,102,633,18,
102,633,116,627,20,
102,633,107,618,20,
107,618,116,627,18,
116,627,130,625,16,
130,625,132,635,14,
121,646,132,635,22,
132,635,145,641,19,
107,618,114,609,16,
108,595,114,609,20,
108,595,120,596,13,
120,596,130,608,22,
117,617,130,608,22,
107,618,117,617,11,
144,657,145,641,17,
144,657,160,656,17,
166,671,178,662,21,
151,678,166,671,22,
134,677,151,678,18,
117,680,134,677,20,
114,696,117,680,19,
114,696,116,711,21,
116,711,130,708,17,
127,692,130,708,19,
114,696,127,692,17,
117,680,127,692,22,
127,692,134,677,22,
141,690,151,678,22,
134,677,141,690,20,
127,692,141,690,16,
145,641,156,642,14,
156,642,160,656,18,
160,656,172,652,16,
172,652,178,662,16,
100,580,108,595,23,
84,574,100,580,22,
78,584,84,574,20,
78,584,78,599,17,
69,608,78,599,18,
69,608,70,592,17,
78,599,78,614,15,
78,614,78,630,18,
78,630,79,646,17,
79,646,82,661,18,
81,677,82,661,19,
81,677,84,693,19,
77,708,84,693,22,
69,716,77,708,16,
61,729,69,716,21,
53,712,69,716,20,
53,712,58,697,20,
58,697,61,682,18,
61,682,71,682,10,
71,682,81,677,15,
70,665,81,677,23,
70,665,71,682,18,
54,670,70,665,21,
54,670,61,682,19,
65,651,70,665,19,
65,651,79,646,19,
68,572,84,574,18,
51,574,68,572,19,
38,565,51,574,24,
45,559,51,574,21,
31,550,45,559,23,
21,549,31,550,11,
11,558,21,549,19,
8,555,11,558,6,
8,555,17,546,18,
17,546,28,536,21,
31,550,43,542,20,
43,542,48,528,19,
46,514,48,528,16,
46,514,46,499,17,
38,489,46,499,18,
23,490,38,489,16,
7,488,23,490,18,
38,489,50,482,19,
50,482,50,468,14,
50,468,60,464,14,
60,464,69,471,16,
67,484,69,471,15,
57,479,67,484,15,
50,482,57,479,10,
67,484,68,495,12,
66,508,68,495,15,
66,508,66,521,13,
60,533,66,521,18,
56,546,60,533,17,
